"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12"
"Arable6.1",-0.158732730667663,0.166136364723128,-0.00912656464456876,-0.122318528055873,0.0282344766826182,-0.0469293128845401,-0.00190272849292751,0.000354033180422442,0.0222701408199856,0.0520358452872262,0.00942059124245691,-0.00351817376784223
"Arable6.2",-0.0923954975779768,-0.0944384564968601,-0.167177895598195,-0.0238674516641904,0.0434131596175403,-0.0322097017715385,-0.0124073598069538,0.000567092858323233,-0.0119157284028547,0.00848106688339534,-0.0333605114559184,0.00313550965115007
"Arable6.3",-0.195800458033462,0.0311642576612012,-0.0573099731249108,0.030812259212976,-0.120231171858737,0.0221473750770007,-0.0448967856584825,-0.00510155385392243,0.00294819277573175,-0.0200572853972241,-0.011186204869967,-0.00336383805711118
"Arable6.4",-0.253808385347943,-0.0629579048919341,0.0515824563083493,0.0249404081601826,-0.0493318180960301,0.00680052601542674,0.054094929909041,0.0401086815778627,0.0523517099716778,-0.00260410494559687,-0.00513204788553127,0.000176127854382836
"Restored6.1",0.118046223495581,-0.0819073843471447,0.128034832106906,-0.0493626265668568,-0.0633546858368583,-0.0598462929400647,0.00190549539932552,0.0448432365414733,-0.0306736762135186,-0.00269276480300039,0.000472864036311945,0.00237054330899132
"Restored6.2",0.127160006713938,-0.117171952267955,-0.0898918328362328,0.0340621564361171,-0.0195783354211443,0.00452679804149133,0.0994688571732142,-0.0250333049283435,-0.0135744142100521,-0.00515774652666341,0.00952486486620719,-0.00368418798100667
"Restored6.3",0.142438855441554,-0.00728927419563671,-0.0690300224888915,-0.0716749242695293,-0.0596449197909963,0.082182852017502,-0.0192844115297929,0.00362063218179085,-0.051626681178195,0.0323506258518105,0.00716633457814463,7.25328903600233e-05
"Restored6.4",0.136413068780944,0.255564423921911,-0.0756378774725084,0.125275251832339,-0.0342535871947652,-0.0391212510322018,0.0222684355654426,0.0141008864573455,0.00633940541407238,0.00425417501935236,0.00696335609626399,0.00477318333370034
"Arable9.1",-0.0597141931249969,0.171024723214185,0.0571510311880391,-0.127185073488909,0.0457625950783208,0.000764744417601559,0.0322372895487726,-0.023588141359734,-0.0355460973003613,-0.0558305905138423,-0.00820032753683656,-0.000201237061951636
"Arable9.2",-0.113416571661283,-0.133247242108219,-0.0643694989377866,-0.00310799160335013,0.0697228646042851,-0.0498885475757831,-0.0306617580280288,0.0520574215841059,-0.015769798674475,-0.0182804376851421,0.02657185191038,-0.00010411812018924
"Arable9.3",-0.148115098601906,-0.0275407996639971,0.0248696887874992,0.0718935961179859,-0.0172527701400062,-0.00797863290648399,-0.046391873106052,-0.0755879033029596,-0.00146202240689621,-0.0157022022280396,0.0197792751620407,0.00141414857700157
"Arable9.4",-0.207411335108899,-0.0127775428005913,0.107752885436647,0.0956484634624323,0.082662984043462,0.0802597884005523,0.0216791227513597,-0.00795115245431955,-0.0275775306248692,0.0289819065748791,-0.00305225600503835,0.00203031029463706
"Restored9.1",0.135206754529532,-0.0569110661835647,0.153231932439709,-0.00484677702985151,-0.0345501490110948,-0.029271424959887,-0.0178616126623912,-0.0147715855724739,0.00260889911003687,0.0166727918369845,-0.0105538012503898,-0.000226268212505746
"Restored9.2",0.209585877668673,-0.0739740906524073,0.00454606927863794,0.00997762560662886,0.0442264675200122,-0.0489120557019886,-0.00725183409530272,-0.0615414358129603,0.0326154402034823,0.00783122371713866,-0.00641106017074674,-0.000843124679693009
"Restored9.3",0.15900304313195,-0.0270038159030084,-0.019597580471697,-0.105695971524615,0.0179771891931925,0.0906882270280168,-0.0143757303966283,0.00911268491949519,0.0660669902576631,-0.0170784776079649,0.00758512430002086,0.00310403299575841
"Restored9.4",0.201540440361958,0.0713297599908926,0.024972350029003,0.115449583374513,0.0661977006102012,0.0267869087748965,-0.0366200365705953,0.0488104079838943,0.00294517045857195,-0.0132040254633128,-0.00958805301739801,-0.00513544102567666
