ID,Arable6-1,Arable6-2,Arable6-3,Arable6-4,Restored6-1,Restored6-2,Restored6-3,Restored6-4,Arable9-1,Arable9-2,Arable9-3,Arable9-4,Restored9-1,Restored9-2,Restored9-3,Restored9-4
Rhabditis,0.024096386,0.11627907,0,0,0.044444444,0.127906977,0.079545455,0.024096386,0.04,0.083333333,0.020408163,0.040816327,0.05,0.11,0.09,0.1
Mesorhabditis,0.240963855,0.162790698,0.272727273,0.273809524,0.122222222,0.162790698,0.147727273,0.144578313,0.22,0.197916667,0.214285714,0.224489796,0.12,0.14,0.13,0.11
Cephalobus,0.024096386,0.023255814,0.022727273,0.047619048,0.055555556,0.034883721,0,0,0.03,0.052083333,0.071428571,0.081632653,0.06,0.07,0.04,0.06
Heterocephalobus,0.024096386,0.034883721,0.034090909,0,0.066666667,0.023255814,0.034090909,0.024096386,0.02,0.041666667,0.051020408,0,0.06,0.05,0,0.05
Acrobeloides,0.168674699,0.209302326,0.181818182,0.261904762,0.066666667,0.034883721,0.045454545,0.084337349,0.14,0.177083333,0.193877551,0.224489796,0.08,0.04,0.04,0.07
Acrolobus,0,0,0,0,0.022222222,0.034883721,0.034090909,0.024096386,0,0,0,0,0.03,0.03,0.05,0.04
Ceratoplectus,0.024096386,0.058139535,0.034090909,0.035714286,0.033333333,0.034883721,0.034090909,0.012048193,0.01,0.072916667,0.051020408,0.030612245,0.03,0.03,0.06,0.01
Prismatolaimus,0,0,0.045454545,0.023809524,0.011111111,0.011627907,0.045454545,0.012048193,0.01,0,0.051020408,0.081632653,0.02,0.01,0.04,0.04
Rhabdolaimus,0.048192771,0.011627907,0.011363636,0,0.022222222,0.011627907,0.011363636,0.048192771,0.11,0,0.010204082,0,0.04,0.04,0.04,0.04
Alaimus,0,0,0,0,0.044444444,0.011627907,0.011363636,0,0.01,0,0,0,0.04,0,0,0.02
Paramphidelus,0.024096386,0,0,0,0.055555556,0,0.034090909,0,0.05,0,0,0,0.06,0.05,0.05,0
Filenchus,0.024096386,0,0.022727273,0.023809524,0.033333333,0.034883721,0.034090909,0.048192771,0.04,0,0.030612245,0.040816327,0.03,0.03,0.03,0.04
Ditylenchus,0,0.023255814,0.022727273,0.035714286,0.033333333,0.034883721,0.034090909,0,0,0.020833333,0.030612245,0.040816327,0.04,0.04,0.03,0
Aphelenchus,0.156626506,0.162790698,0.147727273,0.130952381,0.133333333,0.11627907,0.159090909,0.072289157,0.15,0.135416667,0.112244898,0.102040816,0.11,0.09,0.14,0.08
Paraphelenchus,0,0.011627907,0,0.023809524,0.033333333,0.023255814,0,0,0,0.03125,0,0.010204082,0.02,0.02,0,0.02
Aphelenchoides,0,0,0.056818182,0,0.011111111,0.023255814,0.034090909,0.096385542,0.01,0,0.020408163,0,0.02,0.04,0.03,0.05
Tylencholaimus,0,0.034883721,0,0,0,0.058139535,0.034090909,0.024096386,0,0.03125,0,0,0,0.02,0.03,0.02
Tripyla,0,0,0,0,0.033333333,0.023255814,0.011363636,0,0,0,0,0,0.03,0.02,0.01,0
Klarkus,0.024096386,0,0.011363636,0.023809524,0.022222222,0.011627907,0.022727273,0.024096386,0.02,0,0.010204082,0.020408163,0.02,0,0.02,0.03
Prodorylaimus,0.13253012,0.023255814,0.022727273,0.023809524,0.022222222,0.034883721,0.034090909,0.048192771,0.04,0.020833333,0.040816327,0.020408163,0.02,0.03,0.03,0.03
Mesodorylaimus,0.024096386,0.011627907,0,0,0,0.023255814,0.034090909,0.072289157,0.05,0.010416667,0,0,0,0.02,0.03,0.04
Ecumenicus,0,0,0,0,0.011111111,0.023255814,0,0,0,0,0,0,0.01,0.02,0,0
Thonus,0,0.069767442,0.090909091,0.047619048,0.044444444,0.058139535,0.034090909,0.072289157,0,0.052083333,0.06122449,0,0.04,0.05,0.03,0.04
Eudorylaimus,0,0.011627907,0,0,0.022222222,0.011627907,0.034090909,0,0,0.020833333,0,0,0.02,0.01,0.03,0
Epidorylaimus,0,0,0,0,0.011111111,0.011627907,0.011363636,0.096385542,0,0.010416667,0,0.040816327,0.01,0.01,0,0.05
Microdorylaimus,0.036144578,0.011627907,0,0,0.022222222,0,0.022727273,0.048192771,0.03,0,0,0,0.02,0.03,0.03,0.04
Aporcelaimellus,0.024096386,0.023255814,0.022727273,0.047619048,0.022222222,0.023255814,0.022727273,0.024096386,0.02,0.041666667,0.030612245,0.040816327,0.02,0,0.02,0.02
