"","Treatment","Time","Bacteria","Fungi","Protozoa","Nematode","Whole_microbiota"
"1","Arable system","Jun.",-0.350177371281898,-0.22481538,-0.298325191379816,-0.158732731,-0.258012668415429
"2","Arable system","Jun.",-0.34916420994801,-0.317897227,-0.272045633782141,-0.092395498,-0.257875642182538
"3","Arable system","Jun.",-0.344912048119124,-0.335434152,-0.310061003808975,-0.195800458,-0.296551915482025
"4","Arable system","Jun.",-0.338875883175693,-0.306143837,-0.292452459936625,-0.253808385,-0.297820141278079
"5","Restored natural area","Jun.",0.441737463723023,0.320735447,0.128132652115594,0.118046223,0.252162946459654
"6","Restored natural area","Jun.",0.431126482894989,0.296752013,0.200231965900329,0.127160007,0.26381761719883
"7","Restored natural area","Jun.",0.407729964102138,0.30208906,0.19235743328679,0.142438855,0.261153828097232
"8","Restored natural area","Jun.",0.410004617980804,0.288569746,0.230822823450315,0.136413069,0.26645256410778
"9","Arable system","Sep.",-0.35793162509158,-0.330420403,0.0608279232380601,-0.059714193,-0.17180957446338
"10","Arable system","Sep.",-0.357015414089655,-0.367685345,-0.262066913028109,-0.113416572,-0.275046061029441
"11","Arable system","Sep.",-0.372297293353734,-0.38194888,-0.304970572366616,-0.148115099,-0.301832961180088
"12","Arable system","Sep.",-0.345073629250187,-0.392954876,-0.256227845353802,-0.207411335,-0.300416921400997
"13","Restored natural area","Sep.",0.450961541253039,0.378687855,0.270999115949673,0.135206755,0.308963816800678
"14","Restored natural area","Sep.",0.0803440945005299,0.308746958,0.353927011559268,0.209585878,0.238150985514949
"15","Restored natural area","Sep.",0.273406361472682,0.374336345,0.274612184352285,0.159003043,0.270339483456242
"16","Restored natural area","Sep.",0.320136948382675,0.377382678,0.284238509803771,0.20154044,0.295824644046612
