,x,0.024
1,-0.016404887,
2,-0.016404887,
3,-0.016404887,
4,-0.011074092,
5,-0.016404887,
6,-0.014627955,
7,0.010249088,
8,-0.016404887,
9,-0.012851023,
10,-0.014627955,
11,-0.007520228,
12,-0.014627955,
13,-0.016404887,
14,-0.014627955,
15,-0.007520228,
16,-0.000412502,
17,-0.011074092,
18,-0.000412502,
19,0.010249088,
20,-0.011074092,
21,-0.011074092,
22,-0.000412502,
23,-0.016404887,
24,-0.011074092,
25,-0.012851023,
26,0.010249088,
27,-0.016404887,
28,-0.012851023,
29,-0.000412502,
30,-0.011074092,
31,-0.014627955,
32,-0.016404887,
33,-0.016404887,
34,-0.016404887,
35,0.024464541,
36,-0.012851023,
37,-0.000412502,
38,0.010249088,
39,0.010249088,
40,-0.000412502,
41,-0.011074092,
42,0.010249088,
43,0.024464541,
44,-0.016404887,
45,-0.011074092,
46,0.024464541,
47,-0.011074092,
48,-0.011074092,
49,0.024464541,
50,-0.016404887,
51,-0.016404887,
52,-0.007520228,
53,0.010249088,
54,-0.007520228,
55,0.024464541,
56,-0.000412502,
57,-0.014627955,
58,-0.000412502,
59,-0.011074092,
60,-0.016404887,
61,-0.000412502,
62,0.010249088,
63,-0.016404887,
64,0.024464541,
65,-0.007520228,
66,0.010249088,
67,0.010249088,
68,-0.011074092,
69,-0.000412502,
70,-0.011074092,
71,-0.007520228,
72,0.010249088,
73,-0.016404887,
74,-0.011074092,
75,0.010249088,
76,-0.012851023,
77,0.010249088,
78,-0.000412502,
79,0.024464541,
80,-0.007520228,
81,0.024464541,
82,0.024464541,
83,0.024464541,
84,0.024464541,
85,0.010249088,
86,0.024464541,
87,0.010249088,
88,-0.012851023,
89,-0.014627955,
90,-0.014627955,
91,0.024464541,
92,0.024464541,
93,-0.011074092,
94,0.010249088,
95,-0.012851023,
96,0.024464541,
97,-0.012851023,
98,0.024464541,
99,0.010249088,
100,0.024464541,
101,0.024464541,
102,0.024464541,
103,-0.014627955,
104,0.024464541,
105,0.024464541,
106,0.024464541,
107,-0.016404887,
108,-0.016404887,
109,0.024464541,
110,0.024464541,
111,0.024464541,
112,-0.016404887,
