"","r1","r2","r3","r4","r5","r6","r7","r8","Gross_activity"
"Arable6-1",40.4,120,30.2,52.1,41.2,30.6,46.5,60.4,-1.29173048625251
"Arable6-2",43.2,114,35.4,55.4,38.7,27.6,41.6,64.4,-1.32990899276171
"Arable6-3",44.6,148,48.7,42.9,55.4,39.7,44.5,74.4,-0.807689950115235
"Arable6-4",41.2,129,36.7,48.9,43.4,35.2,42.5,65,-1.15224171648575
"Restored6-1",73.4,146,79.2,84.1,62.3,39.8,72.8,109.2,0.210771967655163
"Restored6-2",80.8,134,86.7,84.5,59.8,31.2,94.1,110.6,0.232328087396197
"Restored6-3",80.4,176,81.2,73.2,74.4,47.4,75.4,141.2,0.701999878823296
"Restored6-4",76.7,157,79.4,78.1,62.4,41.4,78.4,110.2,0.299964159824509
"Arable9-1",40.4,171,39.4,68.7,54.4,40.1,58.8,81.2,-0.478843781205112
"Arable9-2",57.4,156,44.5,72.3,49.8,40.4,54.2,88.4,-0.416705473471363
"Arable9-3",61.2,212,61.2,55.4,61.2,46.9,55.7,89.9,0.0104516645690627
"Arable9-4",52.2,165,49.2,61.5,48.9,52.4,51.6,87.8,-0.30006589461801
"Restored9-1",89.9,188,92.2,99.5,72.4,51.4,88.4,120.2,1.07348267113514
"Restored9-2",94.5,179,105.4,101.4,71.5,40.2,96.7,114.4,0.98295878363245
"Restored9-3",102.2,224,88.9,87.5,88.9,51.8,89.2,134.5,1.4074440209885
"Restored9-4",88.8,178,90.5,74.9,87.4,50.2,77.9,115.6,0.857785060885389
