"","AG.T","BG.T","CB.T","XY.T","NAG.T","LAP.T","PHOX.T","PEOX.T","Gross_activity"
"Arable6-1",39.53033268,53.57142857,28.65275142,51.38067061,46.34420697,58.39694656,48.0868666,42.77620397,-1.29195264699033
"Arable6-2",42.27005871,50.89285714,33.58633776,54.63510848,43.53205849,52.67175573,43.0196484,45.60906516,-1.33012362736113
"Arable6-3",43.63992172,66.07142857,46.20493359,42.30769231,62.31721035,75.76335878,46.01861427,52.69121813,-0.807827227129757
"Arable6-4",40.31311155,57.58928571,34.81973435,48.22485207,48.81889764,67.17557252,43.95036194,46.17563739,-1.15144480825225
"Restored6-1",71.81996086,65.17857143,75.14231499,82.93885602,70.07874016,75.95419847,75.28438469,77.33711048,0.210773249553735
"Restored6-2",79.06066536,59.82142857,82.25806452,83.33333333,67.26659168,59.54198473,97.31127198,78.3286119,0.232327858276372
"Restored6-3",78.66927593,78.57142857,77.0398482,72.18934911,83.68953881,90.45801527,77.97311272,100,0.702143251995882
"Restored6-4",75.04892368,70.08928571,75.33206831,77.02169625,70.1912261,79.00763359,81.07549121,78.04532578,0.29996917261993
"Arable9-1",39.53033268,76.33928571,37.38140417,67.75147929,61.19235096,76.52671756,60.80661841,57.50708215,-0.478959973684718
"Arable9-2",56.16438356,69.64285714,42.22011385,71.30177515,56.01799775,77.09923664,56.04963806,62.60623229,-0.416808374213837
"Arable9-3",59.88258317,94.64285714,58.06451613,54.63510848,68.84139483,89.50381679,57.6008273,63.66855524,0.0103830574816422
"Arable9-4",51.07632094,73.66071429,46.67931689,60.65088757,55.0056243,100,53.36091003,62.18130312,-0.300173176511186
"Restored9-1",87.96477495,83.92857143,87.47628083,98.12623274,81.43982002,98.09160305,91.41675284,85.12747875,1.07354795056761
"Restored9-2",92.46575342,79.91071429,100,100,80.42744657,76.71755725,100,81.01983003,0.983001607768432
"Restored9-3",100,100,84.34535104,86.29191321,100,98.85496183,92.24405377,95.25495751,1.40760109383965
"Restored9-4",86.88845401,79.46428571,85.86337761,73.86587771,98.26771654,95.80152672,80.55842813,81.86968839,0.857542592039937
